r	intercept	slope	subcl	all
CRC0549PRX0A02004TUMD08000V2.fit.0.025_0.1.r2:1	0.941862060120252	0.560450652254586	NA	8	82
CRC0740LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.997087159933615	1.20431748140856	NA	20	241
CRC0740PRX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.965568769900928	4.71620221606584	NA	101	394
CRC1063LMX0A01001TUMD07000V2.fit.0.025_0.1.r2:1	0.996276961260167	2.10464148798442	NA	60	427
CRC1063PRX0B02001TUMD08000V2.fit.0.025_0.1.r2:1	0.979735162285079	0.769185345467347	NA	15	266
CRC1144LMX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.827455201402371	3.21125674135386	NA	60	322
CRC1144PRX0B02002TUMD08000V2.fit.0.025_0.1.r2:1	0.924992006251454	1.16832442773333	NA	21	302
CRC1169LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.938515341242996	5.66679317806269	NA	111	720
CRC1169PRX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.992634896028918	2.32745674282891	NA	63	585
CRC1182LMX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.960159818339026	0.595238600353651	NA	11	273
CRC1182PRX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.997696191499271	2.4208607178588	NA	62	310
CRC1240LMX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.970662660360142	2.09860891554256	NA	49	442
CRC1240PRX0B01001TUMD08000V2.fit.0.025_0.1.r2:1	0.96368377075969	0.239821213576706	NA	6	389
CRC1251LMX0A02001TUMD08000V2.fit.0.025_0.1.r2:1	0.993041620552182	1.50258842016576	NA	39	297
CRC1251PRX0A01001TUMD08000V2.fit.0.025_0.1.r2:1	0.957448885120684	2.19351135432702	NA	54	346
CRC1331LMX0A02005TUMD03000V2.fit.0.025_0.1.r2:1	0.982306383261652	4.01096180885309	NA	91	394
CRC1331PRX0A01001TUMD05000V2.fit.0.025_0.1.r2:1	0.972592192654412	2.49427494643716	NA	61	323
CRC1387LMX0A02001TUMD03000V2.fit.0.025_0.1.r2:1	0.925655664337092	0.907162518385039	NA	22	331
CRC1387PRX0B01001TUMD05000V2.fit.0.025_0.1.r2:1	0.996548109014194	2.26433877591983	NA	60	398
CRC1473LMX0B02002TUMD03000V2.fit.0.025_0.1.r2:1	0.993998928357019	1.19713723676697	NA	34	390
CRC1473PRX0B01001TUMD03000V2.fit.0.025_0.1.r2:1	0.978250159931047	2.23908483684152	NA	54	275
CRC1486LMX0B02002TUMD03000V2.fit.0.025_0.1.r2:1	0.957872652640847	1.66771091453204	NA	32	355
