Campione	sample	Concentrazione	Conta totale	Data prelievo	Data analisi	Positività EDU (%)	Stima divisioni in 24h	T
CRC1307 EDU BULK CLONE 9E-  2°GIRO		425000	1275000	2019/12/17	2020/01/15	14.5714285714286	1.165714285714288	2
CRC1307 CLONE 8D EDU 3 MESI 		485000	1455000	2020/01/31	2020/05/07	11.7142857142857	0.937142857142856	2
CRC1307 CLONE 2B EDU 3 MESI		617500	1852500	2020/02/03	2020/06/11	17.4285714285714	1.394285714285712	2
CRC1502 EDU BULK CLONE 10 B - 2°GIRO		340000	1360000	2019/12/16	2020/02/20	7.5098814229249	0.600790513833992	2
CRC1502 EDU BULK CLONE 8D - 2°GIRO		122500	367500	2019/12/23	2020/03/05	25.1428571428571	2.011428571428568	2
CRC1502 CLONE 3A 2°GIRO - 1°100		75000	225000	2019/12/23	2020/02/27	35.1428571428571	2.8114285714285683	2
CRC1502 CLONE 10B 2°GIRO - 1°100		67500	202500	2019/12/23	2020/02/27	40	3.2	2
CRC1502 CLONE 8D - 2°100		362500	2175000	2019/12/27	2020/03/05	24.5714285714286	1.9657142857142882	2
CRC1502 CLONE 3A EDU 3 MESI 2°GIRO		125000	750000	2020/03/11	2020/06/16	20.7100591715976	1.656804733727808	2
CRC1502 CLONE 8D EDU 3 MESI 2°GIRO		197500	1185000	2020/03/11	2020/06/16	27.4285714285714	2.1942857142857117	2
CRC1502 CLONE 9C 3 MESI 2°GIRO		137500	550000	2020/03/24	2020/06/16	15.4362416107383	1.234899328859064	2
CRC0282PR CLONE 1A  - 1°100	CRC0282-01-1-A	150000	300000	2020/01/28	2020/05/26	10.6666666666667	0.8533333333333359	2
CRC0282PR BULK CLONE 1A	CRC0282-01-1-A	742500	2227500	2020/01/31	2020/05/26	7.42857142857143	0.5942857142857144	2
CRC0282PR BULK CLONE 7E	CRC0282-07-1-E	367500	1102500	2020/01/31	2020/05/26	10.8571428571429	0.868571428571432	2
CRC0282PR CLONE 7E  - 1°100	CRC0282-01-1-A	255000	510000	2020/02/03	2020/05/26	10.4225352112676	0.833802816901408	2
CRC0282PR CLONE 1A EDU 3 MESI	CRC0282-07-1-E	175000	525000	2020/04/11	2020/06/16	20	1.6	2
CRC1599LM BULK CLONE 1C	CRC1599LM-01-1-C	232500	697500	2020/01/31	2020/05/07	27.142857142857142	2.1714285714285713	2
CRC1599LM CLONE 1C - 1°100	CRC1599LM-01-1-C	435000	870000	2020/02/03	2020/06/05	41.42857142857143	3.3142857142857145	2
CRC1599LM CLONE 1C EDU 3 MESI	CRC1599LM-01-1-C	295000	885000	2020/04/21	2020/06/22	22.134387351778656	1.7707509881422925	2
CRC1599LM CLONE 1C EDU 3 MESI	CRC1599LM-01-1-C	290000	1160000	2020/05/07	2020/06/30	17.428571428571427	1.3942857142857141	2
CRC1599LM CLONE 1C - FINE 	CRC1599LM-01-1-C	152500	610000	2020/06/26	3030/06/30	32	2.56	2
CRC1078 EDU BULK CLONE 7A - 2°GIRO	CRC1078-07-1-A	162500	650000	2019/12/16	2020/02/06	10.857142857142858	0.8685714285714287	2
CRC1078 CLONE 7A EDU 3 MESI	CRC1078-07-1-A	180000	720000	2020/05/07	2020/06/30	23.68421052631579	1.8947368421052633	2
